sno,personId,MaxEducation,PrimaryOccupation,Stage,AnnualIncome,leadquality
83,0035w0000356ovKAAQ,Postgraduate,Business,Closed Lost,75000,Best
84,0035w0000356p14AAA,Undergraduate,Salaried,follow-up,84000,Poor
85,0035w0000356oz9AAA,Undergraduate,Salaried,Proposal/Price Quote,62000,Average
86,0035w0000356oxkAAA,Secondary school,Self employed,Negotiation/Review,16000,Average
87,0035w0000356ouxAAA,Undergraduate,Salaried,follow-up,45000,Poor
88,0035w0000356ovCAAQ,Secondary school,Self employed,Closed Lost,30000,Best
89,0035w0000356nArAAI,Secondary school,Unemployed,Prospecting,3000,Best
90,0035w0000356oykAAA,Undergraduate,Salaried,follow-up,51000,Best
91,0035w0000356owXAAQ,Doctorate,Salaried,follow-up,81000,Poor
92,0035w0000356p0IAAQ,Elementary school,Self employed,Closed Lost,14000,Average
93,0035w0000356owjAAA,Elementary school,Unemployed,Negotiation/Review,1000,Best
94,0035w0000356oteAAA,Postgraduate,Salaried,Prospecting,77000,Average
95,0035w0000356ow3AAA,Secondary school,Self employed,follow-up,11000,Average
96,0035w0000356ovlAAA,Postgraduate,Business,follow-up,81000,Poor
97,0035w0000356owVAAQ,Undergraduate,Salaried,Closed Lost,52000,Best
98,0035w0000356ouFAAQ,Secondary school,Self employed,follow-up,32000,Best
99,0035w0000356oyTAAQ,Elementary school,Unemployed,Proposal/Price Quote,1000,Poor
100,0035w0000356owwAAA,Doctorate,Salaried,Proposal/Price Quote,74000,Average
101,0035w0000356oukAAA,Postgraduate,Business,Proposal/Price Quote,83000,Average
102,0035w0000356oy9AAA,Undergraduate,Salaried,Prospecting,68000,Poor
103,0035w0000356ozZAAQ,Postgraduate,Business,Prospecting,83000,Best
104,0035w0000356oy4AAA,Undergraduate,Salaried,Proposal/Price Quote,61000,Average
105,0035w0000356p0CAAQ,Secondary school,Self employed,follow-up,7000,Poor
106,0035w0000356ovbAAA,Postgraduate,Business,Prospecting,80000,Poor
107,0035w0000356ovkAAA,Postgraduate,Business,follow-up,86000,Best
108,0035w0000356nAsAAI,Doctorate,Salaried,follow-up,48000,Poor
109,0035w0000356owqAAA,Undergraduate,Salaried,follow-up,83000,Average
110,0035w0000356oyGAAQ,Undergraduate,Salaried,follow-up,86000,Average
111,0035w0000356p0RAAQ,Doctorate,Salaried,Closed Lost,56000,Best
112,0035w0000356oylAAA,Postgraduate,Business,follow-up,75000,Best
113,0035w0000356oyyAAA,Secondary school,Self employed,Proposal/Price Quote,32000,Average
114,0035w0000356oydAAA,Secondary school,Self employed,follow-up,33000,Poor
115,0035w0000356p0RAAQ,Doctorate,Salaried,Closed Lost,56000,Best
116,0035w0000356ovQAAQ,Doctorate,Salaried,follow-up,66000,Average
117,0035w0000356owhAAA,Undergraduate,Salaried,follow-up,41000,Average
118,0035w0000356ovrAAA,Secondary school,Salaried,Proposal/Price Quote,70000,Best
119,0035w0000356oxsAAA,Postgraduate,Business,Closed Lost,90000,Poor
120,0035w0000356p17AAA,Postgraduate,Salaried,follow-up,71000,Poor
121,0035w0000356otyAAA,Undergraduate,Salaried,Closed Lost,80000,Best
122,0035w0000356ovsAAA,Postgraduate,Business,Closed Lost,69000,Poor
123,0035w0000356ozqAAA,Secondary school,Self employed,Proposal/Price Quote,1000,Poor
124,0035w0000356p11AAA,Postgraduate,Business,follow-up,91000,Poor
125,0035w0000356p0oAAA,Undergraduate,Salaried,follow-up,65000,Average
126,0035w0000356oweAAA,Postgraduate,Business,Closed Lost,98000,Best
127,0035w0000356ouhAAA,Secondary school,Unemployed,Proposal/Price Quote,1000,Average
128,0035w0000356p0kAAA,Doctorate,Salaried,follow-up,88000,Best
129,0035w0000356oxtAAA,Undergraduate,Salaried,follow-up,66000,Average
130,0035w0000356ow2AAA,Undergraduate,Salaried,Closed Lost,58000,Average
131,0035w0000356ou0AAA,Undergraduate,Salaried,follow-up,67000,Average
132,0035w0000356oudAAA,Postgraduate,Business,follow-up,92000,Best
133,0035w0000356ovPAAQ,Undergraduate,Salaried,Closed Lost,85000,Average
134,0035w0000356owIAAQ,Doctorate,Salaried,Proposal/Price Quote,74000,Best
135,0035w0000356ouPAAQ,Postgraduate,Business,follow-up,67000,Average
136,0035w0000356ovVAAQ,Undergraduate,Salaried,Proposal/Price Quote,85000,Average
137,0035w0000356oyRAAQ,Postgraduate,Business,follow-up,89000,Best
138,0035w0000356p0kAAA,Doctorate,Salaried,follow-up,88000,Best
139,0035w0000356ozmAAA,Undergraduate,Salaried,Prospecting,47000,Poor
140,0035w0000356oywAAA,Doctorate,Salaried,follow-up,44000,Average
141,0035w0000356owPAAQ,Secondary school,Self employed,follow-up,5000,Best
142,0035w0000356p07AAA,Elementary school,Self employed,Closed Lost,23000,Poor
143,0035w0000356nAnAAI,Secondary school,Self employed,Closed Lost,25000,Average
144,0035w0000356outAAA,Elementary school,Self employed,Proposal/Price Quote,9000,Average
145,0035w0000356oyKAAQ,Doctorate,Salaried,Prospecting,68000,Poor
146,0035w0000356ozMAAQ,Undergraduate,Salaried,follow-up,56000,Poor
147,0035w0000356ouNAAQ,Postgraduate,Business,follow-up,85000,Best
148,0035w0000356oucAAA,Undergraduate,Salaried,Closed Lost,60000,Average
149,0035w0000356p0BAAQ,Secondary school,Self employed,follow-up,27000,Average
150,0035w0000356p0hAAA,Postgraduate,Business,follow-up,88000,Best
151,0035w0000356ov7AAA,Doctorate,Salaried,Proposal/Price Quote,43000,Poor
152,0035w0000356p0EAAQ,Undergraduate,Salaried,Proposal/Price Quote,78000,Poor
153,0035w0000356ozzAAA,Secondary school,Salaried,follow-up,10000,Best
154,0035w0000356oz3AAA,Secondary school,Self employed,Proposal/Price Quote,9000,Poor
155,0035w0000356ovHAAQ,Postgraduate,Salaried,Closed Lost,85000,Poor
156,0035w0000356oyKAAQ,Doctorate,Salaried,Prospecting,68000,Poor
157,0035w0000356ozoAAA,Doctorate,Salaried,Proposal/Price Quote,41000,Average
158,0035w0000356ozHAAQ,Secondary school,Self employed,follow-up,31000,Average
159,0035w0000356p0HAAQ,Secondary school,Self employed,Closed Lost,9000,Average
160,0035w0000356p14AAA,Undergraduate,Salaried,follow-up,84000,Poor
161,0035w0000356owaAAA,Doctorate,Salaried,follow-up,57000,Best
162,0035w0000356owpAAA,Undergraduate,Salaried,Closed Lost,88000,Poor
163,0035w0000356ou9AAA,Postgraduate,Salaried,follow-up,45000,Best
164,0035w0000356owwAAA,Doctorate,Salaried,Proposal/Price Quote,74000,Average
165,0035w0000356oxTAAQ,Undergraduate,Salaried,follow-up,65000,Poor
166,0035w0000356ovkAAA,Postgraduate,Business,follow-up,86000,Best
167,0035w0000356oyeAAA,Undergraduate,Salaried,Closed Lost,76000,Average
168,0035w0000356p0vAAA,Secondary school,Self employed,Closed Lost,26000,Poor
169,0035w0000356owHAAQ,Elementary school,Self employed,Proposal/Price Quote,1000,Average
170,0035w0000356ou2AAA,Doctorate,Salaried,Negotiation/Review,54000,Best
171,0035w0000356oxXAAQ,Postgraduate,Business,follow-up,79000,Poor
172,0035w0000356oxDAAQ,Secondary school,Unemployed,follow-up,1000,Best
173,0035w0000356ov4AAA,Doctorate,Salaried,follow-up,60000,Poor
174,0035w0000356p0SAAQ,Postgraduate,Business,Prospecting,71000,Poor
175,0035w0000356ovkAAA,Postgraduate,Business,follow-up,86000,Best
176,0035w0000356otdAAA,Postgraduate,Salaried,follow-up,60000,Poor
177,0035w0000356ov3AAA,Postgraduate,Business,follow-up,84000,Average
178,0035w0000356p07AAA,Elementary school,Self employed,Closed Lost,23000,Poor
179,0035w0000356oxdAAA,Undergraduate,Salaried,follow-up,69000,Average
180,0035w0000356p1AAAQ,Doctorate,Salaried,follow-up,85000,Best
181,0035w0000356p17AAA,Postgraduate,Salaried,follow-up,71000,Poor
182,0035w0000356p0FAAQ,Secondary school,Self employed,Closed Lost,8000,Best
183,0035w0000356oyiAAA,Secondary school,Self employed,Proposal/Price Quote,34000,Average
184,0035w0000356oxyAAA,Elementary school,Self employed,follow-up,3000,Best
185,0035w0000356ozTAAQ,Elementary school,Self employed,follow-up,10000,Poor
186,0035w0000356ouOAAQ,Undergraduate,Salaried,follow-up,54000,Poor
187,0035w0000356oumAAA,Elementary school,Self employed,follow-up,35000,Average
188,0035w0000356ouMAAQ,Undergraduate,Salaried,follow-up,62000,Average
189,0035w0000356oxMAAQ,Postgraduate,Business,Closed Lost,84000,Average
190,0035w0000356ouHAAQ,Undergraduate,Self employed,follow-up,90000,Poor
191,0035w0000356owIAAQ,Doctorate,Salaried,Proposal/Price Quote,74000,Best
192,0035w0000356otwAAA,Undergraduate,Salaried,Proposal/Price Quote,42000,Best
193,0035w0000356oxxAAA,Doctorate,Salaried,follow-up,58000,Average
194,0035w0000356oyHAAQ,Undergraduate,Salaried,Negotiation/Review,64000,Best
195,0035w0000356ozAAAQ,Secondary school,Self employed,Negotiation/Review,9000,Best
196,0035w0000356p08AAA,Undergraduate,Salaried,follow-up,50000,Best
197,0035w0000356ozWAAQ,Doctorate,Salaried,Closed Lost,83000,Poor
198,0035w0000356owgAAA,Undergraduate,Salaried,Closed Lost,48000,Average
199,0035w0000356oynAAA,Doctorate,Salaried,Prospecting,58000,Best
200,0035w0000356ox4AAA,Undergraduate,Salaried,follow-up,57000,Average
201,0035w0000356ovvAAA,Undergraduate,Salaried,Closed Lost,88000,Best
202,0035w0000356nAsAAI,Doctorate,Salaried,follow-up,48000,Poor
203,0035w0000356oysAAA,Secondary school,Unemployed,follow-up,1000,Average
204,0035w0000356p1AAAQ,Doctorate,Salaried,follow-up,85000,Best
205,0035w0000356owPAAQ,Secondary school,Self employed,follow-up,5000,Best
206,0035w0000356owTAAQ,Doctorate,Salaried,follow-up,57000,Average
207,0035w0000356owDAAQ,Doctorate,Salaried,follow-up,85000,Poor
208,0035w0000356owhAAA,Undergraduate,Salaried,follow-up,41000,Average
209,0035w0000356oueAAA,Doctorate,Salaried,Negotiation/Review,66000,Average
210,0035w0000356ozHAAQ,Secondary school,Self employed,follow-up,31000,Average
211,0035w0000356oy5AAA,Undergraduate,Salaried,follow-up,76000,Poor
212,0035w0000356ozNAAQ,Doctorate,Salaried,follow-up,57000,Best
213,0035w0000356oxBAAQ,Postgraduate,Business,follow-up,69000,Poor
214,0035w0000356oz0AAA,Postgraduate,Salaried,Prospecting,74000,Poor
215,0035w0000356ovRAAQ,Secondary school,Self employed,Closed Lost,30000,Poor
216,0035w0000356oxcAAA,Postgraduate,Salaried,follow-up,78000,Best
217,0035w0000356oveAAA,Postgraduate,Salaried,Negotiation/Review,59000,Average
218,0035w0000356owJAAQ,Doctorate,Salaried,follow-up,74000,Average
219,0035w0000356ozWAAQ,Doctorate,Salaried,Closed Lost,83000,Poor
220,0035w0000356ouVAAQ,Postgraduate,Business,Negotiation/Review,92000,Poor
221,0035w0000356otUAAQ,Undergraduate,Salaried,follow-up,74000,Best
222,0035w0000356ouGAAQ,Postgraduate,Business,Prospecting,76000,Average
223,0035w0000356p0VAAQ,Postgraduate,Business,Closed Lost,61000,Best
224,0035w0000356oz3AAA,Secondary school,Self employed,Proposal/Price Quote,9000,Poor
225,0035w0000356oz7AAA,Postgraduate,Salaried,Proposal/Price Quote,44000,Poor
226,0035w0000356ovTAAQ,Elementary school,Unemployed,Closed Lost,1000,Best
227,0035w0000356oxeAAA,Secondary school,Self employed,follow-up,33000,Poor
228,0035w0000356oxGAAQ,Doctorate,Salaried,Proposal/Price Quote,69000,Average
229,0035w0000356owmAAA,Elementary school,Unemployed,follow-up,1000,Poor
230,0035w0000356owjAAA,Elementary school,Unemployed,Negotiation/Review,1000,Best
231,0035w0000356p1JAAQ,Doctorate,Salaried,Proposal/Price Quote,65000,Best
232,0035w0000356ovfAAA,Undergraduate,Salaried,Proposal/Price Quote,51000,Average
233,0035w0000356outAAA,Elementary school,Self employed,Proposal/Price Quote,9000,Average
234,0035w0000356ovXAAQ,Undergraduate,Salaried,Closed Lost,72000,Best
235,0035w0000356ozGAAQ,Undergraduate,Salaried,follow-up,53000,Best
236,0035w0000356ow2AAA,Undergraduate,Salaried,Closed Lost,58000,Average
237,0035w0000356oz0AAA,Postgraduate,Salaried,Prospecting,74000,Poor
238,0035w0000356ox2AAA,Undergraduate,Salaried,follow-up,65000,Best
239,0035w0000356ovOAAQ,Postgraduate,Business,follow-up,66000,Poor
240,0035w0000356ov4AAA,Doctorate,Salaried,follow-up,60000,Poor
241,0035w0000356p01AAA,Undergraduate,Salaried,Closed Lost,51000,Poor
242,0035w0000356oygAAA,Doctorate,Salaried,Closed Lost,74000,Average
243,0035w0000356owxAAA,Secondary school,Self employed,follow-up,4000,Average
244,0035w0000356p0YAAQ,Secondary school,Self employed,Closed Lost,35000,Poor
245,0035w0000356owqAAA,Undergraduate,Salaried,follow-up,83000,Average
246,0035w0000356ovKAAQ,Postgraduate,Business,Closed Lost,75000,Best
247,0035w0000356ovjAAA,Elementary school,Unemployed,Closed Lost,1000,Average
248,0035w0000356oyVAAQ,Doctorate,Salaried,follow-up,65000,Average
249,0035w0000356oxvAAA,Undergraduate,Salaried,Negotiation/Review,59000,Poor
250,0035w0000356ox5AAA,Doctorate,Salaried,follow-up,88000,Best
251,0035w0000356oxQAAQ,Undergraduate,Salaried,follow-up,83000,Poor
252,0035w0000356otbAAA,Doctorate,Salaried,follow-up,43000,Poor
253,0035w0000356oxJAAQ,Undergraduate,Salaried,Closed Lost,40000,Best
254,0035w0000356p1CAAQ,Undergraduate,Salaried,Closed Lost,52000,Average
255,0035w0000356oxEAAQ,Undergraduate,Salaried,Closed Lost,72000,Best
256,0035w0000356ox3AAA,Postgraduate,Business,Prospecting,71000,Best
257,0035w0000356oytAAA,Elementary school,Self employed,Negotiation/Review,60000,Average
258,0035w0000356ou6AAA,Undergraduate,Salaried,Closed Lost,40000,Poor
259,0035w0000356oyVAAQ,Doctorate,Salaried,follow-up,65000,Average
260,0035w0000356oyDAAQ,Undergraduate,Salaried,follow-up,75000,Poor
261,0035w0000356p10AAA,Undergraduate,Salaried,follow-up,84000,Poor
262,0035w0000356oz4AAA,Postgraduate,Business,Closed Lost,62000,Best
263,0035w0000356ozuAAA,Undergraduate,Salaried,follow-up,83000,Poor
264,0035w0000356oxgAAA,Postgraduate,Business,follow-up,65000,Average
265,0035w0000356nArAAI,Secondary school,Unemployed,Prospecting,3000,Best
266,0035w0000356ovdAAA,Secondary school,Self employed,follow-up,31000,Average
267,0035w0000356ovjAAA,Elementary school,Unemployed,Closed Lost,1000,Average
268,0035w0000356ow7AAA,Postgraduate,Business,follow-up,71000,Average
269,0035w0000356oxXAAQ,Postgraduate,Business,follow-up,79000,Poor
270,0035w0000356ouTAAQ,Postgraduate,Business,Closed Lost,88000,Poor
271,0035w0000356oudAAA,Postgraduate,Business,follow-up,92000,Best
272,0035w0000356ozmAAA,Undergraduate,Salaried,Prospecting,47000,Poor
273,0035w0000356oxNAAQ,Doctorate,Salaried,Prospecting,67000,Average
274,0035w0000356p0cAAA,Undergraduate,Salaried,Proposal/Price Quote,49000,Average
275,0035w0000356owfAAA,Undergraduate,Salaried,follow-up,86000,Average
276,0035w0000356oxIAAQ,Postgraduate,Business,follow-up,60000,Average
277,0035w0000356oyWAAQ,Postgraduate,Salaried,Prospecting,49000,Average
278,0035w0000356ow2AAA,Undergraduate,Salaried,Closed Lost,58000,Average
279,0035w0000356ouWAAQ,Secondary school,Unemployed,follow-up,1000,Average
280,0035w0000356oyeAAA,Undergraduate,Salaried,Closed Lost,76000,Average
281,0035w0000356p0aAAA,Postgraduate,Business,follow-up,82000,Best
282,0035w0000356otrAAA,Postgraduate,Salaried,Proposal/Price Quote,61000,Best
283,0035w0000356oyFAAQ,Postgraduate,Business,Closed Lost,90000,Best
284,0035w0000356oxVAAQ,Elementary school,Self employed,follow-up,4000,Poor
285,0035w0000356oz5AAA,Undergraduate,Salaried,Proposal/Price Quote,85000,Best
286,0035w0000356ozmAAA,Undergraduate,Salaried,Prospecting,47000,Poor
287,0035w0000356ouJAAQ,Secondary school,Self employed,Negotiation/Review,12000,Poor
288,0035w0000356oz0AAA,Postgraduate,Salaried,Prospecting,74000,Poor
289,0035w0000356p1LAAQ,Elementary school,Self employed,follow-up,12000,Poor
290,0035w0000356ouHAAQ,Undergraduate,Self employed,follow-up,90000,Poor
291,0035w0000356oxGAAQ,Doctorate,Salaried,Proposal/Price Quote,69000,Average
292,0035w0000356owIAAQ,Doctorate,Salaried,Proposal/Price Quote,74000,Best
293,0035w0000356owBAAQ,Undergraduate,Salaried,Closed Lost,73000,Best
294,0035w0000356oueAAA,Doctorate,Salaried,Negotiation/Review,66000,Average
295,0035w0000356p0iAAA,Postgraduate,Business,Proposal/Price Quote,87000,Average
296,0035w0000356p0VAAQ,Postgraduate,Business,Closed Lost,61000,Best
297,0035w0000356oxxAAA,Doctorate,Salaried,follow-up,58000,Average
298,0035w0000356ovpAAA,Postgraduate,Business,Closed Lost,73000,Poor
299,0035w0000356owVAAQ,Undergraduate,Salaried,Closed Lost,52000,Best
300,0035w0000356ovgAAA,Postgraduate,Business,follow-up,74000,Average
301,0035w0000356oyEAAQ,Doctorate,Salaried,follow-up,59000,Poor
302,0035w0000356ov5AAA,Postgraduate,Salaried,Closed Lost,59000,Poor
303,0035w0000356otmAAA,Secondary school,Self employed,follow-up,31000,Average
304,0035w0000356oxOAAQ,Postgraduate,Salaried,Closed Lost,76000,Average
305,0035w0000356oxtAAA,Undergraduate,Salaried,follow-up,66000,Average
306,0035w0000356oxbAAA,Postgraduate,Business,Closed Lost,70000,Average
307,0035w0000356nAqAAI,Undergraduate,Salaried,Closed Lost,59000,Poor
308,0035w0000356ox1AAA,Undergraduate,Salaried,Proposal/Price Quote,64000,Best
309,0035w0000356p0HAAQ,Secondary school,Self employed,Closed Lost,9000,Average
310,0035w0000356p0pAAA,Undergraduate,Salaried,follow-up,41000,Best
311,0035w0000356ox4AAA,Undergraduate,Salaried,follow-up,57000,Average
312,0035w0000356otYAAQ,Elementary school,Self employed,Negotiation/Review,22000,Average
313,0035w0000356p0VAAQ,Postgraduate,Business,Closed Lost,61000,Best
314,0035w0000356p0aAAA,Postgraduate,Business,follow-up,82000,Best
315,0035w0000356ouzAAA,Undergraduate,Salaried,follow-up,56000,Average
316,0035w0000356p0OAAQ,Postgraduate,Business,follow-up,61000,Poor
317,0035w0000356owlAAA,Postgraduate,Business,Closed Lost,72000,Best
318,0035w0000356oxrAAA,Undergraduate,Salaried,follow-up,81000,Average
319,0035w0000356ouNAAQ,Postgraduate,Business,follow-up,85000,Best
320,0035w0000356ovpAAA,Postgraduate,Business,Closed Lost,73000,Poor
321,0035w0000356ozdAAA,Postgraduate,Business,follow-up,79000,Average
322,0035w0000356otmAAA,Secondary school,Self employed,follow-up,31000,Average
323,0035w0000356ovQAAQ,Doctorate,Salaried,follow-up,66000,Average
324,0035w0000356ozeAAA,Undergraduate,Salaried,follow-up,40000,Average
325,0035w0000356oznAAA,Undergraduate,Salaried,follow-up,68000,Best
326,0035w0000356nAnAAI,Secondary school,Self employed,Closed Lost,25000,Average
327,0035w0000356ouzAAA,Undergraduate,Salaried,follow-up,56000,Average
328,0035w0000356oyqAAA,Doctorate,Salaried,Closed Lost,84000,Average
329,0035w0000356ouCAAQ,Doctorate,Salaried,follow-up,48000,Poor
330,0035w0000356p0qAAA,Undergraduate,Salaried,follow-up,84000,Poor
331,0035w0000356ozcAAA,Undergraduate,Salaried,follow-up,77000,Poor
332,0035w0000356ozJAAQ,Secondary school,Self employed,Negotiation/Review,34000,Best
333,0035w0000356owhAAA,Undergraduate,Salaried,follow-up,41000,Average
334,0035w0000356ozdAAA,Postgraduate,Business,follow-up,79000,Average
335,0035w0000356otxAAA,Undergraduate,Salaried,follow-up,85000,Poor
336,0035w0000356oxGAAQ,Doctorate,Salaried,Proposal/Price Quote,69000,Average
337,0035w0000356p0aAAA,Postgraduate,Business,follow-up,82000,Best
338,0035w0000356owTAAQ,Doctorate,Salaried,follow-up,57000,Average
339,0035w0000356oyDAAQ,Undergraduate,Salaried,follow-up,75000,Poor
340,0035w0000356ozhAAA,Secondary school,Self employed,Closed Lost,7000,Average
341,0035w0000356oyiAAA,Secondary school,Self employed,Proposal/Price Quote,34000,Average
342,0035w0000356ouqAAA,Secondary school,Self employed,Closed Lost,6000,Best
343,0035w0000356oy0AAA,Doctorate,Salaried,Negotiation/Review,40000,Average
344,0035w0000356ou2AAA,Doctorate,Salaried,Negotiation/Review,54000,Best
345,0035w0000356owKAAQ,Undergraduate,Salaried,follow-up,85000,Best
346,0035w0000356oyFAAQ,Postgraduate,Business,Closed Lost,90000,Best
347,0035w0000356p0dAAA,Doctorate,Salaried,follow-up,58000,Best
348,0035w0000356p0gAAA,Secondary school,Self employed,follow-up,82000,Average
349,0035w0000356oxxAAA,Doctorate,Salaried,follow-up,58000,Average
350,0035w0000356ovkAAA,Postgraduate,Business,follow-up,86000,Best
351,0035w0000356ozUAAQ,Elementary school,Self employed,follow-up,20000,Best
352,0035w0000356p0cAAA,Undergraduate,Salaried,Proposal/Price Quote,49000,Average
353,0035w0000356ozTAAQ,Elementary school,Self employed,follow-up,10000,Poor
